MRP - PO Suggestion
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Purch.doc.|Item|Vendor|Vendor Name                        |Material         |      Quantity|Deliv.date|Material description                    |Plnt|Exception message        |Excep.msg.             |Curr.|      Net price|OPUn|   GR Qty.|ABC|PDT|SafetyTime|GRT|IPT|Ship Date |PGr|Purch. gp.       |Item text                               |Del. text|PO creatio|ETD.Seq.nu|ETD       |Confirmed.|Invoice|Last chang|User name|ETD Status|ETD Status Text       |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|4500639748|  10|MIA112|IDEMIA AMERICA CORP.               |FBRLAL60000661   |      300.000 |12/20/2021|GSMA eSIM                               |275D|Cancel process           |Finish date in the past|USD  |      3.450000 |PC  |    0.000 |   |27 |          | 0 | 0 |11/23/2021|P95|Israel Souza     |                                        |         |11/23/2021|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500716644|  10|LFM161|FOXCONN MOEBG INDUSTRIA DE ELETRONI|31ZAUMB26D0      |        1.000 |06/29/2023|ZAURMB(CPU LCNR3 2.6G/SM4G32/UMA)UPI    |276A|Cancel process           |Finish date in the past|BRL  |    490.564780 |PC  |   22.000 |   | 0 |          | 0 | 0 |06/29/2023|P39|Talita Bosso     |                                        |         |04/06/2023|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500719417|  20|L1560 |INNOVAK INDUSTRIA DE MATERIAIS PLAS|15000-0910A000   |      113.000 |06/20/2023|KIT GIFTBOX+EPE CUSHION+ACC BOX(Innovak)|271A|Reschedule out (08/24/23)|Finish date in the past|BRL  |     10.810000 |PC  |2,967.000 |   | 0 |          | 0 | 0 |06/20/2023|P39|Talita Bosso     |                                        |         |04/25/2023|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500719425|  20|LNM031|NILKO TECNOLOGIA LTDA              |21031800         |       14.000 |08/01/2023|BBU5900 Box,442x86.1x310mm,Chassis 2U an|272J|Reschedule in (06/30/23) |                       |BRL  |    570.570000 |PC  |   37.000 |C  | 1 |        14| 0 | 0 |07/17/2023|P39|Talita Bosso     |                                        |         |04/25/2023|          |          |    0.000 |       |          |         |IN        |Invoiced              |
|4500721480|  10|LAA411|ALPHA ASSEMBLY SOLUTIONS BRASIL    |267764           |   55,200.000 |08/01/2023|Solder Paste TAMURA TLF-204-NH(20-36)SAC|272J|Reschedule out (08/13/23)|                       |BRL  |    912.233900 |KG  |    0.000 |C  |75 |        14| 0 | 0 |05/04/2023|P95|Israel Souza     |                                        |         |05/10/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500724232|  30|L1127 |HANA ELECTRONICS INDUSTRIA E COMERC|03012-00021600   |   35,040.000 |07/28/2023|Hana DDR4 3200 512M*16 1.2V FBGA96 BRAL |271B|Reschedule out (08/01/23)|                       |BRL  |      2.000000 |PC  |    0.000 |   |27 |          | 0 | 0 |07/01/2023|P39|Talita Bosso     |                                        |         |05/26/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500724232|  40|L1127 |HANA ELECTRONICS INDUSTRIA E COMERC|03012-00021600   |   23,800.000 |08/03/2023|Hana DDR4 3200 512M*16 1.2V FBGA96 BRAL |271B|Reschedule out (08/05/23)|                       |BRL  |      2.000000 |PC  |    0.000 |   |27 |          | 0 | 0 |07/07/2023|P39|Talita Bosso     |                                        |         |05/26/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500724233|  30|L1560 |INNOVAK INDUSTRIA DE MATERIAIS PLAS|15000-0910A000   |    3,080.000 |07/25/2023|KIT GIFTBOX+EPE CUSHION+ACC BOX(Innovak)|271A|Reschedule out (08/24/23)|                       |BRL  |     10.810000 |PC  |    0.000 |   | 0 |          | 0 | 0 |07/25/2023|P39|Talita Bosso     |                                        |         |05/26/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
|4500724233|  40|L1560 |INNOVAK INDUSTRIA DE MATERIAIS PLAS|15000-0910A000   |    3,791.000 |08/01/2023|KIT GIFTBOX+EPE CUSHION+ACC BOX(Innovak)|271A|Reschedule out (08/24/23)|                       |BRL  |     10.810000 |PC  |    0.000 |   | 0 |          | 0 | 0 |08/01/2023|P39|Talita Bosso     |                                        |         |05/26/2023|          |          |    0.000 |       |          |         |WA        |Waiting Acknowledgment|
